Cidade,CodigoDaCidade,Data,Regiao,Pais,Latitude,Longitude,TemperaturaMaxima,TemperaturaMinima,TemperaturaMedia,VaiChover,ChanceDeChuva,CondicaoDoTempo,NascerDoSol,PorDoSol,VelocidadeMaximaDoVento
Aparecida,3502507,2023-01-11,Sao Paulo,Brazil,-22.83,-45.23,27.0,14.3,20.2,Sim,86.0,Moderate rain,05:27 AM,06:53 PM,4.7
Aparecida,3502507,2023-01-12,Sao Paulo,Brazil,-22.83,-45.23,26.1,15.1,19.5,Sim,89.0,Moderate rain,05:28 AM,06:53 PM,3.8
Aparecida,3502507,2023-01-13,Sao Paulo,Brazil,-22.83,-45.23,29.9,14.5,21.0,Sim,83.0,Moderate rain,05:28 AM,06:53 PM,3.6
Aparecida,3502507,2023-01-14,Sao Paulo,Brazil,-22.83,-45.23,31.1,14.8,21.7,Sim,85.0,Moderate rain,05:29 AM,06:53 PM,4.5
Aparecida,3502507,2023-01-15,Sao Paulo,Brazil,-22.83,-45.23,29.1,16.4,21.4,Sim,84.0,Heavy rain,05:30 AM,06:53 PM,3.8
Aparecida,3502507,2023-01-15,Sao Paulo,Brazil,-22.83,-45.23,29.1,16.4,21.4,Sim,84.0,Heavy rain,05:30 AM,06:53 PM,3.8
Arapeí,3503158,2023-01-11,Sao Paulo,Brasil,-22.68,-44.45,28.2,18.7,22.7,Sim,92.0,Heavy rain,05:24 AM,06:48 PM,3.4
Arapeí,3503158,2023-01-11,Sao Paulo,Brasil,-22.68,-44.45,28.2,18.7,22.7,Sim,92.0,Heavy rain,05:24 AM,06:48 PM,3.4
Areias,3503505,2023-01-11,Paraiba,Brazil,-6.45,-38.43,35.0,22.3,27.7,Sim,89.0,Patchy rain possible,05:27 AM,05:54 PM,17.0
Areias,3503505,2023-01-11,Paraiba,Brazil,-6.45,-38.43,35.0,22.3,27.7,Sim,89.0,Patchy rain possible,05:27 AM,05:54 PM,17.0
Bananal,3504909,2023-01-11,Maranhao,Brazil,-3.99,-43.12,36.3,21.1,27.2,Não,0.0,Partly cloudy,05:50 AM,06:10 PM,6.5
Bananal,3504909,2023-01-11,Maranhao,Brazil,-3.99,-43.12,36.3,21.1,27.2,Não,0.0,Partly cloudy,05:50 AM,06:10 PM,6.5
Cachoeira Paulista,3508603,2023-01-11,Sao Paulo,Brazil,-22.67,-45.02,27.9,16.4,20.8,Sim,92.0,Moderate rain,05:26 AM,06:51 PM,3.6
